"Dr. Amalie Aasen","Vassgata 2, Malodden, MD 2183","5440"
"Frida Arnesen","Andreass Gate 2, Utstrand, SC 8391","2223"
"Daniel Emil Thoresen","Bjørkeløkka 2, Utfjord, CO 2947","9379"
"Hanna Berge","Oppgang B Berntsenveien 62, Nærø, IA 0348","7332"
"Prof. Aksel Nygård","Gamle Granbråten 0, Fetsjøen, FL 0989","8252"
"Natalie Danielsen","Magnusveien 4, Tandmark, ME 0667","6941"
"Dr. Johannes Larsen","Oppgang B Vestre Granvollen 57, Stavnes, MT 0070","0153"
"Simen Eriksen Berntsen","Leil. 040 Johannessensgate 4, Loøy, AZ 3181","6420"
"Prof. Sara Kristensen","Oppgang B Filipsgate 95, Lillestad, WY 1695","6510"
"Dr. Eirik Røed","Oppgang B Øvre Kirkekroken 77, Høyhavn, MD 1248","4339"
"Oskar Sander Finstad","Litjskogen 3, Nordfoss, NM 5913","9455"
"Mathias Johansen Ødegård","Østre Solduggstranda 32, Lovær, IN 0580","6220"
"Malin Torp","Klevens Vei 13, Høysjøen, AR 0105","0188"
"Oda Jacobsen III","Kroghsgate 80, Lilleøy, UT 0494","9765"
"Dr. Jonathan Edvardsen","Nedre Klokkerengen 7, Stavstad, UT 9523","1804"
"Elias Thoresen IV","Leil. 294 Nedre Eikevollen 2, Vestsand, WY 0584","6006"
"Benjamin Haugen II","Oppgang A Edvardsensvei 4, Lostad, ND 1774","3733"
"Celine Amalie Holm","Oppgang A Idas Gate 77, Storstrøm, MS 1834","2314"
"Henrik Jonas Ryan","Leil. 353 Bergstykket 03, Stavgrunn, TX 0517","4385"
"Prof. Nikolai Smedsrud","Wolds Vei 22, Høydal, GA 6915","8536"
"Prof. Mathilde Bjørnstad","Maries Vei 2, Gjesås, MN 8180","9049"
"Mina Jørgensen Olsen","Oppgang A Damekra 86, Nærbø, OR 0143","3107"
"Prof. Emilie Jensen","Leil. 974 Klokkerflata 70, Lomark, NM 5966","6255"
"Nora Kvarme Moe","Oppgang A Østre Prestekollen 6, Lillevåg, SC 0085","0159"
"Prof. Karoline Andreassen","Smedsrudsgate 57, Lovik, CO 3860","7435"
"Oliver Edvardsen I","Noahs Gate 47, Malstad, MA 0388","6821"
"Magnus Halvorsen","Oppgang B Henriksens Gate 80, Fagerfjord, KS 4760","5631"
"Dr. Hedda Halvorsen","Konvallfaret 06, Tandodden, UT 0060","6770"
"Lars Johannes Nordby","Lillemyra 1, Stavberg, VT 0462","2421"
"Mari Kristensen","Jørgengata 1, Smefjord, VA 4031","7340"
"Eline Vegge","Oppgang B Østlis Gate 17, Sandø, GA 0521","2834"
"Nikolai Sondre Karlsen","Mathildesgate 7, Logrunn, DE 4164","8384"
"Sander Haugen Jr.","Geiterygggata 3, Malvåg, NJ 9813","6772"
"Thea Hanna Østby","Oppgang B Kumyra 5, Tandfoss, CO 5013","2028"
"Isak Aasen","Leil. 695 Aasgata 2, Sandhamn, IL 0404","4974"
"Synne Jacobsen III","Leil. 012 Kirkegrenda 45, Sandfjord, RI 0009","6002"
"Håkon Solheim Smedsrud","Oppgang A Øvre Vassrøa 78, Lofoss, NV 7551","4910"
"Lucas Aas Krogh","Søndre Solskogen 0, Gjesbø, AK 5097","5591"
"Sebastian Andreas Berge","Leil. 178 Bekkelunden 7, Veststrand, IA 7142","6300"
"Eirik Haugen III","Østre Furulia 0, Næreid, AZ 2486","6201"
"Helene Natalie Ødegård","Oppgang B Damgrenda 0, Fetdal, TN 0817","8251"
"Benjamin Johansen Haukelidsæter","Nedre Fiolkollen 32, Sandfjell, WI 1497","7239"
"Kristine Pettersen Vegge","Oppgang A Østre Konvallskrenten 6, Vestfjord, KS 0168","4200"
"Andrea Carlsen","Leil. 187 Granittbråten 40, Lohavn, IA 4480","4656"
"Hanna Aasen Holm","Nedre Tinghøgda 04, Fagervær, RI 0413","2632"
"Ingrid Aurora Larsen","Oppgang A Østre Malmstubben 6, Innfjord, NH 2810","5714"
"Elias Sørlie Wold","Hestemyrlyngen 2, Storbø, VA 7598","6161"
"Dr. Elise Halvorsen","Nedre Fossemyra 87, Fetvåg, CT 0906","5016"
"Elias Daniel Aasen","Solhøgda 85, Vesteid, HI 0433","1302"
"Aurora Smogeli Christiansen","Ryansgate 1, Innvik, AK 1936","6686"
"Isak Oskar Henriksen","Andreassensvei 80, Vestborg, TN 9055","2817"
"Sofie Sæther Jr.","Pettersens Vei 54, Lillehavn, ND 0293","4002"
"Jørgen Henrik Vedvik","Oppgang B Tingekra 2, Stavhelle, HI 7193","3033"
"Aurora Løken","Oppgang A Jennys Vei 7, Lilleberg, AR 4890","5018"
"Herman Markus Jacobsen","Borgegata 72, Vestfjord, AR 7878","0465"
"Leah Mia Moen","Oppgang B Gamle Konvallvika 87, Loø, RI 2355","2818"
"Daniel Sondre Berge","Geiteryggtunet 2, Smeborg, OH 0544","6703"
"Henrik Torp Sr.","Oppgang B Nedre Solduggskogen 7, Storø, MT 0971","4579"
"Prof. Jenny Lie","Odaveien 73, Tandeid, NJ 0710","0605"
"Theodor Johannes Andreassen","Øvre Tingplassen 05, Stavfjell, HI 4877","5260"
"Fredrik Aksel Nguyen","Leil. 724 Søndre Geiteryggtoppen 63, Høyvær, IN 2873","6361"
"Natalie Marte Evensen","Oppgang A Sebastians Vei 57, Utsjøen, AL 0118","9146"
"Noah Jonas Dahl","Damhaugen 1, Utsjøen, VA 0263","4326"
"Mia Christiansen Sr.","Oppgang A Synnes Gate 8, Fagervik, GA 4171","4576"
"Sofie Kleven IV","Gamle Prestebråten 1, Fetdal, NJ 4728","6730"
"Vilde Jenny Strand","Oppgang B Bjørkevika 3, Vestø, GA 0659","5895"
"Oskar Fredrik Kristensen","Leil. 117 Eriksgate 8, Storborg, HI 0336","5004"
"Mats Fredrik Martinsen","Bergeggen 2, Lillevær, NH 0147","6623"
"Håkon Olstad Andresen","Oppgang B Arnesensvei 20, Sandby, NC 4068","0891"
"Sofie Wold Jensen","Oppgang A Tinghagen 6, Storsand, ND 0535","0981"
"Mikkel Nielsen","Mathildegata 60, Lilleås, NV 5680","6490"
"Hanna Johansen","Oppgang A Furueggen 3, Stavfjord, AL 0781","4401"
"Dr. Mia Sæther","Vestre Høylia 56, Nærodden, IA 4706","5700"
"Silje Sandra Fossum","Nedre Høyløkka 56, Tandsjøen, NY 4327","1281"
"Filip Lunde Hansen","Leil. 590 Jensens Vei 03, Vestø, UT 0765","5720"
"Sindre Andreassen","Oppgang A Fossetoppen 36, Tandøy, WA 6272","7247"
"Noah Holm II","Soldugggropa 50, Storsand, PA 9192","7607"
"Prof. Martin Karlsen","Henriks Vei 3, Gjesgrunn, AL 0137","5202"
"Sara Andreassen IV","Litjmarka 6, Fagermark, MD 4461","9844"
"Ida Thea Christiansen","Oppgang B Øvre Konvallskrenten 1, Fetstrand, OR 8690","0596"
"Martin Jonas Nielsen","Camillas Vei 21, Utøy, AK 6350","0165"
"Camilla Løken Solli","Leil. 535 Grans Vei 14, Høydal, HI 0918","5651"
"Dr. Noah Rasmussen","Vestre Tingrøa 9, Malberg, SD 5948","9691"
"Ole Markus Fredriksen","Berglia 7, Høysjøen, HI 0060","4032"
"Prof. Tuva Martinsen","Oppgang A Ryangata 66, Vesteid, CA 5086","1165"
"Marie Victoria Eriksen","Gamle Kustien 0, Sandøy, VT 7121","2422"
"Oskar Halvorsen I","Oppgang B Bergsvei 9, Utborg, OH 8546","6888"
"Markus Johannes Hansen","Klokkerlia 0, Fagerby, WI 0099","5788"
"Thomas Daniel Smedsrud","Oppgang B Adrians Vei 0, Lillegrunn, WA 0435","1598"
"Tiril Haukelidsæter II","Oppgang B Geiteryggeggen 38, Lillehamn, NE 0029","6641"
"Julie Evensen","Strands Gate 33, Fetgrunn, CA 9649","1413"
"Alexander Skuterud","Leil. 172 Tingfaret 9, Lilleborg, MI 7704","4816"
"Kristian Jørgen Carlsen","Nedre Soldugghøgda 34, Lilleborg, MD 2867","9521"
"Theodor Kasper Krogh","Haugens Gate 21, Sandborg, KS 2086","6859"
"Madeleine Mia Ødegård","Oppgang B Solbergsvei 3, Smehavn, VT 4225","4434"
"Adrian Erik Solli","Fosseekra 0, Loø, KS 7899","9306"
"William Sindre Mathisen","Leil. 782 Østre Furuhøgda 31, Stavsund, NH 2367","3913"
"Adrian Kristian Borge","Emiliesgate 50, Høyodden, CO 1020","3089"
"Mikkel Røed","Konvalltunet 28, Høyfjell, PA 0356","9176"
"William Evensen III","Haukelidsæters Vei 51, Smestrand, VT 0905","4972"
"Mathilde Hanna Bjørnstad","Gamle Blåveistoppen 47, Vestodden, VT 0896","8535"
"Prof. Linnea Skoglund","Leil. 775 Gamle Bjørkeholtet 2, Gjesvik, CA 2939","5773"
"Prof. Sandra Fjeld","Oppgang A Lillestien 94, Utvåg, KY 7590","5013"
"Nora Kvarme Christiansen","Elvespranget 0, Nordnes, AZ 6943","1396"
"Emma Sara Solheim","Oppgang A Siljes Gate 37, Fetvær, IN 0962","9447"
"Eline Glosli","Høylia 1, Vestøy, FL 3282","7072"
"Alexander Solberg Kristensen","Oppgang B Fredriks Gate 0, Fetfjell, WV 6148","5178"
"Kristian Adrian Haugen","Oppgang A Tingholtet 3, Gjesby, CO 1639","8412"
"Tuva Hanna Solberg","Aurorasvei 4, Malnes, AZ 1168","1356"
"Lucas Karlsen II","Bakkesvei 06, Nærøy, MI 6321","2821"
"Håkon Marius Aalerud","Øvre Fossekroken 14, Tandsund, AK 1785","7971"
"Kristine Nielsen","Vestre Fioltjernet 4, Innøy, CA 9504","4666"
"Dr. Filip Sørensen","Bergekra 4, Fagervær, UT 7753","3009"
"Isak Jakobsen Torp","Oppgang B Gloslis Vei 0, Gjesbø, MN 0271","5805"
"Leah Røed Finstad","Oppgang B Camillasvei 66, Tandhamn, OK 0402","9424"
"Ida Holm Jr.","Leil. 049 Søndre Granlyngen 99, Fetgrunn, AL 6664","3841"
"Fredrik Nikolai Sørensen","Husebys Gate 7, Nordgrunn, IA 2452","1332"
"Leah Stensrud I","Litjgjerdet 0, Malvær, AZ 1641","3409"
"Frida Jensen IV","Oppgang B Solmoen 2, Utsand, WI 3007","7607"
"Leah Eide Jr.","Nordbys Vei 89, Loø, OH 9012","5570"
"Dr. Håkon Jensen","Nygårdsgate 90, Malås, NM 9912","8613"
"Andreas Wold Aasen","Vestre Heggekollen 1, Malhelle, OH 0108","5964"
"Emilie Tuva Fjeld","Oppgang A Konvallgrenda 5, Innvik, AZ 6388","7602"
"Amalie Eline Pettersen","Oppgang A Østre Granlunden 21, Sandø, PA 0366","8646"
"William Jonas Nordskaug","Oppgang B Fridasgate 7, Lofoss, IN 6703","5399"
"Mina Smedsrud","Søndre Bjørkegrenda 77, Tandø, AK 0507","8100"
"Aurora Amalie Olstad","Oppgang A Sunnivasvei 6, Fetsand, NH 0870","3442"
"Dr. Andreas Skuterud","Oppgang A Damløkka 23, Smegrunn, MS 0139","5783"
"Frida Mina Hagen","Henriksgate 2, Nordvær, AL 4826","5763"
"Silje Aas","Gamle Bjørkelyngen 12, Fagergrunn, ND 2051","3074"
"Tobias Fredrik Moen","Martegata 3, Lillebø, UT 8392","2164"
"Sondre Kristian Arnesen","Ødegårdsvei 7, Fetvik, WA 0801","0274"
"Anna Marte Edvardsen","Oppgang A Malmholtet 97, Vestfjell, NV 4345","7980"
"Tuva Karoline Halvorsen","Litjplassen 9, Lovåg, ID 9816","0379"
"Leah Leah Aalerud","Eirikgata 11, Lillefjord, MO 6091","3652"
"Fredrik Kristiansen","Granittskrenten 7, Vesteid, KS 2462","5222"
"Magnus Even Solli","Leil. 977 Johannessens Gate 41, Vesteid, CA 1618","3606"
"Martine Nygård Berntsen","Andreass Vei 1, Utås, MI 4811","3928"
"Aurora Hanna Fjeld","Hagens Vei 5, Gjesby, MT 9702","6098"
"Jonathan Holm Dahl","Leil. 963 Øvre Klokkervika 1, Fethavn, PA 1085","7268"
"Sander Olstad","Oppgang A Konvallfaret 33, Stormark, UT 0137","1300"
"Sofie Jensen","Leil. 964 Torgbakken 5, Fetvåg, FL 3819","2716"
"Benjamin Alexander Edvardsen","Oppgang B Kristensensgate 08, Stavvåg, SD 6148","2162"
"Jenny Østby Sr.","Leil. 464 Kirkeskogen 86, Smehamn, VT 0914","9533"
"Nikolai Lars Nguyen","Leil. 875 Kristiangata 6, Malås, UT 2953","6091"
"Silje Ødegård","Leil. 839 Gamle Lillesvingen 4, Smesjøen, NM 1541","7891"
"Markus Olsen V","Benjaminsvei 1, Utstad, FL 6803","7818"
"Anders Erik Kleven","Østre Solspranget 3, Maleid, MN 0750","7730"
"Ingrid Mina Moen","Leil. 655 Nedre Fiolstykket 00, Høyhavn, KS 4949","1479"
"Jakob Mats Bakken","Oppgang A Øvre Bjørkehøgda 50, Nordstrand, NY 4933","7005"
"Emilie Elise Smedsrud","Gamle Torgengen 5, Storgrunn, MD 5827","6781"
"Madeleine Linnea Huseby","Leil. 937 Moens Vei 8, Maløy, AR 9780","3961"
"Marte Holm","Oppgang B Øvre Bjørkesvingen 00, Smestad, ME 0805","8195"
"Jørgen Solberg Solheim","Nedre Kirkevollen 5, Storsund, KY 1161","7705"
"Anna Victoria Ødegård","Ryangata 4, Smeodden, WV 0946","2652"
"Camilla Myhrer I","Mathiass Vei 1, Stavborg, KY 9741","2212"
"Jørgen Sindre Hagen","Søndre Kirkeflata 43, Høyvåg, PA 7645","9120"
"Hanna Tiril Larsen","Bekkegropa 9, Utdal, ID 0935","2365"
"Silje Berg III","Fiolplassen 7, Inneid, AK 3392","7089"
"Jenny Solberg","Granlyngen 60, Sandby, OR 0974","2232"
"Elise Mia Mathisen","Oppgang B Selmas Vei 3, Malodden, TN 6468","3744"
"Kasper Lucas Haukelidsæter","Andreassens Vei 1, Smeeid, WV 2762","1592"
"Nikolai Karlsen III","Torgvollen 27, Nærvær, OK 8999","7892"
"Magnus Ruud","Solengen 2, Sandhamn, MS 0247","2029"
"Jakob Skuterud","Gamle Kirkestien 35, Tandhamn, ID 4453","0773"
"Sondre Kasper Jensen","Oppgang B Johannessens Gate 96, Utfjord, ID 5370","3074"
"Noah Simen Evensen","Oppgang B Heggevika 82, Lillestrøm, DE 1857","4832"
"Marte Stensrud","Oppgang A Gamle Solekra 05, Tandvik, WI 9277","3672"
"Daniel Ole Borge","Nedre Bjørkestien 6, Utstrøm, WA 6950","5783"
"Anna Torgersen Haugen","Leahs Vei 55, Smevær, OK 0526","0251"
"Kristine Mia Ødegård","Østre Granlia 5, Lilleborg, OK 6934","8168"
"Mats Andreassen Nilsen","Oppgang B Bjørnstads Vei 00, Sandvær, NJ 3032","2167"
"Nikolai Isak Nguyen","Oppgang A Korslyngen 7, Loberg, TN 5490","3614"
"Jørgen Alexander Evensen","Eikealléen 80, Høyfjord, SC 8957","0750"
"Markus Daniel Stensrud","Oppgang A Ingridsvei 01, Storås, AZ 5606","3880"
"Sunniva Maren Jacobsen","Oppgang B Furutoppen 3, Sandstrøm, UT 1657","2845"
"Ole Vegge","Østre Fosseløkka 69, Utbø, TN 5398","0981"
"Ole Røed Evensen","Leil. 676 Korsgata 5, Nordgrunn, MI 4622","5238"
"Natalie Smogeli Haukelidsæter","Oppgang A Østre Solduggstubben 2, Utborg, MO 2610","5427"
"Alexander Henrik Carlsen","Eriksengata 10, Innborg, AZ 0478","7622"
"Anna Borge Jr.","Leil. 646 Bergløkka 75, Nærgrunn, RI 0185","7525"
"Prof. Emil Østli","Oppgang A Malmkroken 97, Inndal, SC 0224","0775"
"Dr. Lars Kvarme","Oppgang B Geiteryggplassen 8, Gjesborg, NJ 0735","0580"
"Dr. Even Bjerke","Søndre Damjordet 02, Fagerstad, SC 5209","3912"
"Ida Thoresen Borge","Oppgang B Amalieveien 7, Høyvik, CA 0652","3528"
"Erik Ryan IV","Nedre Korsrøa 0, Smesund, GA 9382","8842"
"Aurora Huseby","Sebastians Vei 7, Vestmark, WV 4747","9768"
"Prof. Nikolai Arnesen","Larsens Vei 57, Smesjøen, OH 8190","1255"
"Daniel Martin Karlsen","Prestemyra 1, Loø, NV 0331","7027"
"Sondre Huseby","Damhøgda 47, Malberg, ME 7224","6857"
"Sondre Rasmussen Jr.","Sofies Gate 6, Malås, WY 9128","3413"
"Eirik Bjørnstad V","Østre Grangjerdet 74, Sandstad, TN 5740","5602"
"Thomas Torp II","Oppgang B Myhrers Vei 41, Utsjøen, NM 4786","9290"
"Dr. Emma Østby","Synnesvei 5, Stavnes, VT 7786","3719"
"Prof. Magnus Ryan","Leil. 033 Henriksengata 09, Innfoss, UT 5618","1376"
"Sandra Bakken Hansen","Oppgang B Blåveisberget 1, Utodden, ME 0408","5214"
"Thomas Østby Moen","Oppgang A Søndre Damroa 7, Stordal, KS 5917","2862"
"Prof. Emilie Bjørnstad","Leil. 282 Gamle Tingtjernet 55, Fagerdal, ID 0059","7170"
"Martin Nielsen II","Oppgang B Gundersensgate 82, Veststrøm, ND 0561","4515"
"Jørgen Dahl Danielsen","Klokkerroa 4, Smeby, FL 6671","0650"
"Eline Selma Fjeld","Leil. 596 Granittspranget 1, Høyhelle, VT 7106","3006"
"Kristine Kristiansen Myhrer","Sjømarka 2, Stavnes, NE 1250","2609"
"Mikkel Jonas Eriksen","Oppgang A Sarasgate 78, Tandvær, PA 8737","9990"
"Mia Østby","Elines Vei 7, Utborg, MD 9897","0457"
"Jenny Christiansen III","Matss Vei 18, Smemark, ID 3326","0551"
"Maja Jakobsen","Halvorsensvei 67, Malfjord, OK 6784","4504"
"Leah Madeleine Hansen","Nedre Geiteryggtoppen 6, Smefjell, WI 6980","7660"
"Herman Kristoffersen Myhrer","Oppgang A Anderssvei 6, Losjøen, AR 0598","1332"
"Theodor William Johansen","Fosseberget 9, Innodden, DE 1141","0217"
"Prof. Sindre Pettersen","Oppgang B Kirkehøgda 5, Tandvær, ME 2720","2684"
"Dr. Thomas Johansen","Saragata 36, Fetvåg, ND 5523","0712"
"Henrik Henrik Tangen","Oppgang B Aalerudsgate 9, Fetvåg, MO 3468","0366"
"Marie Evensen Sæther","Oppgang B Arnesensvei 68, Nordeid, TX 7169","7429"
"Linnea Martinsen IV","Oppgang A Dahlsvei 91, Malhavn, MD 5299","4073"
"Hanna Eline Kvarme","Prestejordet 20, Loås, VA 2191","7168"
"Magnus Ødegård I","Leil. 657 Ryansvei 04, Nærfoss, KS 0317","9517"
"Prof. Tuva Kvarme","Bjørkehagen 0, Veststrøm, PA 8402","5144"
"Frida Nielsen Smogeli","Oppgang B Bergsgate 68, Lohamn, WA 0357","9650"
"Dr. Sunniva Hopland","Aalerudgata 4, Storhamn, ID 8743","1806"
"Markus Simen Berge","Oppgang A Nedre Bjørkehagen 3, Lovåg, NV 0389","6917"
"Jonathan Mats Larsen","Klokkerengen 9, Storeid, CA 6992","1408"
"Johannes Emil Moe","Oppgang A Bekkestubben 28, Gjesstrand, MO 0374","0554"
"Benjamin Kvarme I","Solduggkroken 69, Lilleøy, NV 3831","0280"
"Alexander Fredriksen","Hannas Gate 8, Høyøy, CA 5847","5565"
"William Theodor Løken","Oppgang A Danielsens Vei 9, Sandeid, TX 5041","5593"
"Sondre Olsen Stensrud","Madeleines Vei 69, Sandås, MI 2213","9140"
"Simen Haukelidsæter Fredriksen","Oppgang A Østre Fosselunden 16, Nærbø, WA 0991","4332"
"Maja Linnea Jakobsen","Granfaret 29, Lilleøy, ID 8446","5527"
"Lucas Kasper Halvorsen","Oppgang A Danielsensvei 9, Høyvik, VT 2833","0783"
"Dr. Karoline Skuterud","Gamle Korsstubben 34, Utstrand, IL 4122","3510"
"Linnea Østli","Vestre Korsløkka 07, Innsjøen, OR 9028","6641"
"Marius Jonas Jørgensen","Oppgang A Presteskrenten 82, Nærhavn, TX 3739","5505"
"Magnus Amundsen Nygård","Mariagata 89, Vestfoss, HI 0659","2633"
"Martin Magnus Ryan","Oppgang B Helenegata 92, Inndal, FL 4028","2656"
"Prof. Sander Olstad","Oppgang A Sollyngen 4, Fetøy, ND 5814","5214"
"Kristoffer Magnus Sørlie","Konvallengen 2, Malgrunn, WI 9013","2620"
"Oda Mari Lunde","Nedre Blåveiskroken 41, Malfjord, CA 5714","2910"
"Kasper Kristiansen Nordskaug","Leil. 470 Leahsgate 33, Utgrunn, VA 1808","6447"
"Dr. Herman Johnsen","Oppgang A Myhrers Gate 60, Smedal, MI 3171","8648"
"Emma Torp","Oppgang B Nedre Fiolstubben 05, Nordodden, RI 2976","7891"
"Prof. Kasper Christiansen","Oppgang B Rognegrenda 07, Lostrand, MN 8981","6134"
"Dr. Marie Hagen","Oppgang A Vasseggen 64, Lillemark, SC 6111","6420"
"Herman Lunde","Leil. 684 Ingrids Gate 2, Fetstrøm, KY 1196","9024"
"Madeleine Synne Danielsen","Fiolrøa 7, Malby, HI 0680","9537"
"Sebastian Sørensen","Oppgang A Konvallløkka 11, Vestbø, SD 4156","8622"
"Kristian Johansen Jr.","Oppgang B Bergs Vei 48, Fagerby, NH 0881","0212"
"Madeleine Kristine Haukelidsæter","Leil. 466 Christiansens Gate 55, Nærfoss, ID 6066","3089"
"Martin Christiansen II","Oppgang B Helenes Vei 1, Innfjord, MT 7016","5963"
"Jakob Erik Glosli","Oppgang A Tingstykket 4, Lovær, LA 0666","9064"
"Tobias Oskar Aas","Østre Malmmarka 73, Nærodden, IN 3496","5814"
"Theodor Jørgensen II","Vestre Bjørkemyra 5, Nærodden, AK 0209","9841"
"Andreas Sebastian Edvardsen","Leil. 807 Granroa 0, Fetsund, NJ 0526","3789"
"Prof. Håkon Haugen","Litjrøa 88, Gjesby, PA 2989","4836"
"Jonathan Johansen","Furumarka 3, Storfjord, PA 6783","3705"
"Prof. Mats Bjerke","Skoglundsvei 59, Malstad, CA 0736","4484"
"Mina Huseby","Oppgang A Marens Gate 3, Losund, AR 0732","2360"
"Erik Ryan Hopland","Oppgang B Øvre Rognegrenda 46, Loås, NM 5421","1067"
"Fredrik Markus Nordby","Oppgang A Granroa 0, Fagersjøen, MS 3472","6502"
"Mina Jakobsen","Oppgang B Vestre Litjtoppen 53, Stavby, IL 3057","3833"
"Celine Victoria Andersen","Danielsgate 9, Tandøy, MO 3177","6270"
"Sandra Lie","Oppgang B Marenveien 35, Utsjøen, MI 0594","3205"
"Julie Johansen","Oppgang B Søndre Klokkerrøa 7, Storberg, ID 0265","2280"
"Marie Nora Østli","Solskrenten 6, Utberg, NH 4472","1852"
"Dr. Benjamin Skoglund","Tobiass Vei 01, Fagerodden, AZ 9403","7797"
"Kristine Smogeli Edvardsen","Bekketjernet 6, Lohelle, HI 7869","1359"
"Simen Elias Haugen","Oppgang A Oskars Gate 87, Uteid, WY 2384","5640"
"Marius Noah Aasen","Leil. 067 Jennyveien 01, Tandfjell, WA 0410","3260"
"Dr. Sofie Nygård","Leil. 852 Grangropa 3, Storstad, CA 9525","4095"
"Markus Tangen Jr.","Leahsvei 8, Lillevåg, HI 9669","9709"
"Ida Skoglund Edvardsen","Nordbysgate 6, Gjesberg, PA 1623","3912"
"Prof. Markus Martinsen","Bjørkelunden 14, Sandvær, OK 3075","6538"
"Frida Kvarme Tangen","Akselsvei 97, Høyfoss, AZ 0748","6055"
"Leah Hanna Smogeli","Veggesgate 82, Stavhamn, DE 0783","5336"
"Dr. Håkon Hopland","Leil. 515 Sørensenveien 7, Malsjøen, OH 0623","6770"
"Johannes Herman Finstad","Bjørkemyra 88, Stavborg, PA 0076","9326"
"Leah Bjerke Ryan","Oppgang A Søndre Tingskrenten 01, Fetmark, UT 2139","8522"
"Prof. Alexander Huseby","Aaleruds Vei 31, Nærstrand, ID 0850","6600"
"Jørgen Hagen Jr.","Oppgang A Eriks Gate 72, Sandby, RI 7875","2640"
"Frida Vilde Olsen","Gamle Brugjerdet 0, Smeøy, LA 9264","0855"
"Vilde Anna Berntsen","Oppgang A Konvallengen 6, Høysand, ID 5768","7079"
"Lucas Oliver Larsen","Oppgang B Ryans Gate 78, Malvik, AL 7078","1762"
"Dr. Håkon Rasmussen","Oppgang B Christiansensvei 6, Lillesand, MD 0593","4745"
"Leah Sofie Gran","Bergeveien 8, Malø, SD 9819","4834"
"Tiril Sandra Kleven","Leil. 792 Solheims Vei 5, Høystrand, TX 0730","1375"
"Oliver Haugen Jr.","Moensvei 74, Stavmark, IL 7584","0502"
"Oskar Strand II","Theaveien 9, Smeø, GA 6379","9265"
"Martine Tuva Arnesen","Tirilsgate 82, Utgrunn, CO 1460","1358"
